regularization,gamma,kernel,stopwords,n_grams,err,time
0.25,0.001,linear,None,1,0.6128855155793909,1.4626130263010662
0.25,0.001,poly,None,1,0.24137962780301245,1.6520129839579265
0.25,0.001,rbf,None,1,0.2657445963807202,1.5108063220977783
0.25,0.001,sigmoid,None,1,0.5483419255248174,1.127884070078532
0.25,0.01,linear,None,1,0.6128855155793909,1.4610026677449544
0.25,0.01,poly,None,1,0.301877934977622,1.6929926077524822
0.25,0.01,rbf,None,1,0.2551648853597331,1.6919110616048176
0.25,0.01,sigmoid,None,1,0.6302713417275218,0.9322160085042318
0.25,0.1,linear,None,1,0.6128855155793909,1.4605066776275635
0.25,0.1,poly,None,1,0.301877934977622,1.692257324854533
0.25,0.1,rbf,None,1,0.2551648853597331,1.5044654210408528
0.25,0.1,sigmoid,None,1,0.5162600428514429,0.9162117640177408
0.5,1e-05,linear,None,1,0.6130144097182583,1.4629966417948406
0.5,1e-05,poly,None,1,0.24781783451651332,1.045052210489909
0.5,1e-05,rbf,None,1,0.24781783451651332,1.4531086285909016
0.5,1e-05,sigmoid,None,1,0.24781783451651332,1.4539846579233806
0.5,0.0001,linear,None,1,0.6130144097182583,1.4643136660257976
0.5,0.0001,poly,None,1,0.25176452041786135,1.4710137049357097
0.5,0.0001,rbf,None,1,0.2596460202811505,1.4698076248168945
0.5,0.0001,sigmoid,None,1,0.25066841668496764,1.4642969767252605
0.5,0.001,linear,None,1,0.6130144097182583,1.4606119791666667
0.5,0.001,poly,None,1,0.2382582444530247,1.6665472984313965
0.5,0.001,rbf,None,1,0.2915362562424581,1.5109829902648926
0.5,0.001,sigmoid,None,1,0.6213527256087013,1.0826167265574138
0.5,0.01,linear,None,1,0.6130144097182583,1.4621816476186116
0.5,0.01,poly,None,1,0.301877934977622,1.6948373317718506
0.5,0.01,rbf,None,1,0.25850370718588683,1.7569475968678792
0.5,0.01,sigmoid,None,1,0.6316883958194134,0.8414809703826904
0.5,0.1,linear,None,1,0.6130144097182583,1.460433562596639
0.5,0.1,poly,None,1,0.301877934977622,1.7051230271657307
0.5,0.1,rbf,None,1,0.25795566795396624,1.5183809598286946
0.5,0.1,sigmoid,None,1,0.49880172101523373,0.8410231272379557
0.75,1e-05,linear,None,1,0.6130144097182583,1.4652423858642578
0.75,1e-05,poly,None,1,0.24781783451651332,1.1132557392120361
0.75,1e-05,rbf,None,1,0.24781783451651332,1.4519774119059246
0.75,1e-05,sigmoid,None,1,0.24781783451651332,1.4568442503611247
0.75,0.0001,linear,None,1,0.6130144097182583,1.4580506483713787
0.75,0.0001,poly,None,1,0.2561889703370506,1.4802663326263428
0.75,0.0001,rbf,None,1,0.31381922415490077,1.4714337189992268
0.75,0.0001,sigmoid,None,1,0.30325299569943726,1.4757233460744221
0.75,0.001,linear,None,1,0.6130144097182583,1.4602681001027424
0.75,0.001,poly,None,1,0.24524145506162562,1.6695830821990967
0.75,0.001,rbf,None,1,0.3235892466017391,1.5128800868988037
0.75,0.001,sigmoid,None,1,0.6145732211591852,1.0318315029144287
