regularization,gamma,kernel,stopwords,n_grams,err,time
0.25,0.0001,poly,None,1,0.15234559492761146,4.114127477010091
0.25,0.0001,rbf,None,1,0.4164791455207997,3.5626187324523926
0.25,0.0001,sigmoid,None,1,0.41497159595433636,4.086238304773967
0.25,0.001,linear,None,1,0.6129240200398697,2.97098445892334
0.25,0.001,poly,None,1,0.20814894304471196,3.7211206754048667
0.25,0.001,rbf,None,1,0.31590682321819313,3.7062137126922607
0.25,0.001,sigmoid,None,1,0.6341629869747568,2.6016619205474854
0.25,0.01,linear,None,1,0.6129240200398697,2.9696083863576255
0.25,0.01,poly,None,1,0.22401798740914491,3.6677072048187256
0.25,0.01,rbf,None,1,0.25850370718588683,4.450745979944865
0.25,0.01,sigmoid,None,1,0.5656012175884854,2.146501302719116
0.25,0.1,linear,None,1,0.6129240200398697,2.9750758012135825
0.25,0.1,poly,None,1,0.22401798740914491,3.676831086476644
0.25,0.1,rbf,None,1,0.25795566795396624,4.250304381052653
0.25,0.1,sigmoid,None,1,0.379580191362011,2.5718209743499756
0.5,1e-05,linear,None,1,0.6128594224794232,2.9845136801401773
0.5,1e-05,poly,None,1,0.11630024117043297,4.1237984498341875
0.5,1e-05,rbf,None,1,0.3054821855580171,4.130079030990601
0.5,1e-05,sigmoid,None,1,0.382288247255208,4.2854305903116865
0.5,0.0001,linear,None,1,0.6128594224794232,2.9639488061269126
0.5,0.0001,poly,None,1,0.14951525593379747,4.081359624862671
0.5,0.0001,rbf,None,1,0.4474571874898772,3.413884957631429
0.5,0.0001,sigmoid,None,1,0.4795705178226603,3.69851287206014
0.5,0.001,linear,None,1,0.6128594224794232,2.966083367665609
0.5,0.001,poly,None,1,0.21129838716026025,3.7244786421457925
0.5,0.001,rbf,None,1,0.33696881976107346,3.7456498940785727
0.5,0.001,sigmoid,None,1,0.6172260395598477,2.2099974950154624
0.5,0.01,linear,None,1,0.6128594224794232,2.9707329273223877
0.5,0.01,poly,None,1,0.22401798740914491,3.740828514099121
0.5,0.01,rbf,None,1,0.25941640960879203,4.460472583770752
0.5,0.01,sigmoid,None,1,0.546286354921727,1.901411771774292
0.5,0.1,linear,None,1,0.6128594224794232,2.9647602240244546
0.5,0.1,poly,None,1,0.22401798740914491,3.6593305269877114
0.5,0.1,rbf,None,1,0.25850370718588683,4.269424200057983
0.5,0.1,sigmoid,None,1,0.3691437458427695,2.4903740882873535
0.75,1e-05,linear,None,1,0.6125858371091023,2.976841608683268
0.75,1e-05,poly,None,1,0.11630024117043297,4.117151101430257
0.75,1e-05,rbf,None,1,0.3176535840559754,4.039943218231201
0.75,1e-05,sigmoid,None,1,0.382288247255208,4.290712436040242
0.75,0.0001,linear,None,1,0.6125858371091023,2.9704652627309165
0.75,0.0001,poly,None,1,0.15404332407751345,4.060989061991374
0.75,0.0001,rbf,None,1,0.48689530650204293,3.343365748723348
0.75,0.0001,sigmoid,None,1,0.56501979961174,3.432903528213501
0.75,0.001,linear,None,1,0.6125858371091023,2.9601093928019204
0.75,0.001,poly,None,1,0.21386315470181927,3.7172934214274087
0.75,0.001,rbf,None,1,0.35643014138333684,3.9457391103108725
0.75,0.001,sigmoid,None,1,0.5982559387920098,1.996058702468872
0.75,0.01,linear,None,1,0.6125858371091023,2.958392302195231
