regularization,gamma,kernel,stopwords,n_grams,err,time
0.75,0.0001,linear,None,1,0.4959838490649788,0.2209643522898356
0.75,0.0001,poly,None,1,0.13137256215738277,0.21354961395263672
0.75,0.0001,rbf,None,1,0.30859937283793615,0.21564277013142905
0.75,0.0001,sigmoid,None,1,0.4729142901030103,0.21752707163492838
0.75,0.001,linear,None,1,0.4959838490649788,0.22206012407938638
0.75,0.001,poly,None,1,0.14998929327064098,0.24112200736999512
0.75,0.001,rbf,None,1,0.29573969525162463,0.2165226936340332
0.75,0.001,sigmoid,None,1,0.5295956487615605,0.20665597915649414
0.75,0.01,linear,None,1,0.4959838490649788,0.22099900245666504
0.75,0.01,poly,None,1,0.21628313117935452,0.24544024467468262
0.75,0.01,rbf,None,1,0.2240258317154266,0.23381471633911133
0.75,0.01,sigmoid,None,1,0.5397343935577666,0.16840473810831705
0.75,0.1,linear,None,1,0.4959838490649788,0.2209308942159017
0.75,0.1,poly,None,1,0.21628313117935452,0.24284760157267252
0.75,0.1,rbf,None,1,0.2161858063423384,0.21846771240234375
0.75,0.1,sigmoid,None,1,0.4464385163511495,0.17389790217081705
1,1e-05,linear,None,1,0.4959838490649788,0.22078736623128256
1,1e-05,poly,None,1,0.09330223652940217,0.21020992596944174
1,1e-05,rbf,None,1,0.12932343027809867,0.21477882067362467
1,1e-05,sigmoid,None,1,0.31641462196190795,0.2177600065867106
1,0.0001,linear,None,1,0.4959838490649788,0.2207829157511393
1,0.0001,poly,None,1,0.12525231241038562,0.21374615033467612
1,0.0001,rbf,None,1,0.33664498513171565,0.21621028582255045
1,0.0001,sigmoid,None,1,0.5068421524355475,0.2166589101155599
1,0.001,linear,None,1,0.4959838490649788,0.22187423706054688
1,0.001,poly,None,1,0.15047447087678342,0.2420189380645752
1,0.001,rbf,None,1,0.3089911268164694,0.22310773531595865
1,0.001,sigmoid,None,1,0.5096133704488168,0.2065893809000651
1,0.01,linear,None,1,0.4959838490649788,0.22139906883239746
1,0.01,poly,None,1,0.21628313117935452,0.2428166071573893
1,0.01,rbf,None,1,0.23321107128319998,0.24224495887756348
1,0.01,sigmoid,None,1,0.5331379332640638,0.1634689966837565
1,0.1,linear,None,1,0.4959838490649788,0.22055435180664062
