hidden_layers,hidden_size,learning_rate,stopwords,ngrams,err,time
100,1,0.5,None,1,0.36817065017209233,1.5167815685272217
100,1,1,None,1,0.37024317627333875,1.5054813226064045
100,10,0.01,None,1,0.44255131013219834,12.20742400487264
100,10,0.05,None,1,0.4488072722613194,4.81082010269165
100,10,0.1,None,1,0.43400749278198286,3.130617062250773
100,10,0.5,None,1,0.37259476352626386,1.503848950068156
100,10,1,None,1,0.36600412552422723,1.5138212045033772
100,100,0.01,None,1,0.44855995401207793,12.448670864105225
100,100,0.05,None,1,0.45775554792519,5.559218088785808
100,100,0.1,None,1,0.43820110709062127,3.052781422932943
100,100,0.5,None,1,0.4020889897519992,1.5575486024220784
100,100,1,None,1,0.3920572768455348,1.513532559076945
100,1000,0.01,None,1,0.44071754052089146,12.454811731974283
100,1000,0.05,None,1,0.44862354864066956,7.095333019892375
100,1000,0.1,None,1,0.4502460191769029,3.6500283082326255
100,1000,0.5,None,1,0.3868089567612211,1.653443733851115
100,1000,1,None,1,0.3826399746302906,1.5582296053568523
1000,1,0.01,None,1,0.42151462353752917,12.025066455205282
1000,1,0.05,None,1,0.45775877328977116,5.919978380203247
1000,1,0.1,None,1,0.4414012690004105,2.932594060897827
1000,1,0.5,None,1,0.38694549433760544,1.5756423473358154
1000,1,1,None,1,0.32536938057249204,1.5635470549265544
1000,10,0.01,None,1,0.4421052106018882,12.26971435546875
1000,10,0.05,None,1,0.44835733219656676,6.095656633377075
1000,10,0.1,None,1,0.44242479805803736,3.5094470183054605
1000,10,0.5,None,1,0.3877283136485796,1.5916144053141277
1000,10,1,None,1,0.3958770751931085,1.5898289680480957
1000,100,0.01,None,1,0.4357047563082992,12.520397345225016
1000,100,0.05,None,1,0.446756384427834,5.0488325754801435
1000,100,0.1,None,1,0.42251674387774346,3.3696045875549316
1000,100,0.5,None,1,0.3989405008625033,1.7126253445943196
1000,100,1,None,1,0.3685200623145702,1.5972352822621663
1000,1000,0.01,None,1,0.4430818950155302,13.62421441078186
1000,1000,0.05,None,1,0.4557923957393751,6.83181627591451
1000,1000,0.1,None,1,0.4391898736555598,4.711329698562622
1000,1000,0.5,None,1,0.3933043246710006,2.326591650644938
1000,1000,1,None,1,0.3663960926423642,1.967530091603597
1,1,0.01,None,2,0.3940904189582692,24.381398757298786
1,1,0.05,None,2,0.39627789623499177,10.727240324020386
1,1,0.1,None,2,0.35929310112353363,7.136508067448934
1,1,0.5,None,2,0.3483844129507205,3.940030018488566
1,1,1,None,2,0.3237847808700733,4.140056371688843
1,10,0.01,None,2,0.3995024463083036,25.426594893137615
1,10,0.05,None,2,0.39926507639523606,11.265029827753702
1,10,0.1,None,2,0.41272992785102836,6.266051371892293
1,10,0.5,None,2,0.37414942281813585,3.9595826466878257
1,10,1,None,2,0.30714632817636955,4.167748371760051
1,100,0.01,None,2,0.3962057030526545,23.967905680338543
1,100,0.05,None,2,0.3973128329174555,12.526473045349121
1,100,0.1,None,2,0.3810223900045284,7.535890102386475
1,100,0.5,None,2,0.4062572218492413,3.9432520866394043
1,100,1,None,2,0.3210387094834631,4.359268585840861
1,1000,0.01,None,2,0.3954079140155839,24.769988536834717
1,1000,0.05,None,2,0.3902312212856864,12.550548632939657
1,1000,0.1,None,2,0.3920041148241495,8.155636390050253
1,1000,0.5,None,2,0.3737170731881656,3.9612299601236978
1,1000,1,None,2,0.3394060690188372,4.327487866083781
10,1,0.01,None,2,0.41287550346513563,23.889050324757893
10,1,0.05,None,2,0.3856653827713037,11.027141014734903
10,1,0.1,None,2,0.3774954497908431,7.087211926778157
10,1,0.5,None,2,0.3767162677758653,3.9315406481424966
10,1,1,None,2,0.32266525585103345,3.9716777006785073
10,10,0.01,None,2,0.39916053425112796,23.37368901570638
10,10,0.05,None,2,0.4043740227284511,16.111583709716797
10,10,0.1,None,2,0.40899128497620524,6.011035601298015
10,10,0.5,None,2,0.3798897817225704,3.9299153486887612
10,10,1,None,2,0.33940342111104754,5.363085349400838
10,100,0.01,None,2,0.38952594413422065,37.78948895136515
10,100,0.05,None,2,0.4073640411981046,13.17200501759847
10,100,0.1,None,2,0.37198075096466215,8.230370998382568
10,100,0.5,None,2,0.3504749057909313,3.9446919759114585
10,100,1,None,2,0.33681852165743625,4.00464113553365
10,1000,0.01,None,2,0.3871013336148881,23.72744909922282
10,1000,0.05,None,2,0.397472791800551,8.436701536178589
10,1000,0.1,None,2,0.37420893301603303,6.092423677444458
10,1000,0.5,None,2,0.3213634921404886,3.9593406518300376
10,1000,1,None,2,0.37506973304305496,4.145773649215698
100,1,0.01,None,2,0.39660809459552787,26.755796273549397
100,1,0.05,None,2,0.378830972942221,13.83936071395874
100,1,0.1,None,2,0.4187214044679426,6.241158723831177
100,1,0.5,None,2,0.3754763672801897,3.978926420211792
100,1,1,None,2,0.36521852481360373,3.956111431121826
100,10,0.01,None,2,0.4065079492265933,26.28764772415161
100,10,0.05,None,2,0.3902503646254513,14.637162367502848
