hidden_layers,hidden_size,learning_rate,stopwords,ngrams,err,time
1,1,1,None,2,0.3470122832034044,40.67908811569214
1,10,0.01,None,2,0.5658093339633031,150.6725652217865
1,10,0.05,None,2,0.5569438306626087,76.25211389859517
1,10,0.1,None,2,0.5401449957282062,43.42646408081055
1,10,0.5,None,2,0.44192375145653706,38.619725704193115
1,10,1,None,2,0.36702283505880756,52.853696982065834
1,100,0.01,None,2,0.5748292261988572,155.11071689923605
1,100,0.05,None,2,0.5715129621992832,99.09764329592387
1,100,0.1,None,2,0.544816648253691,51.525464614232384
1,100,0.5,None,2,0.4357171326904568,42.603874842325844
1,100,1,None,2,0.3737958375462242,46.86160707473755
1,1000,0.01,None,2,0.5679251760439743,151.6565259297689
1,1000,0.05,None,2,0.5616166912153856,75.90906715393066
1,1000,0.1,None,2,0.5496597502333683,65.57088494300842
1,1000,0.5,None,2,0.43463953256810406,51.63228940963745
1,1000,1,None,2,0.31743020649070747,49.39596827824911
10,1,0.01,None,2,0.5555489433165127,153.08636458714804
10,1,0.05,None,2,0.5567002318486386,85.69426329930623
10,1,0.1,None,2,0.5382804804786789,60.16804703076681
10,1,0.5,None,2,0.43394943957521903,34.792973279953
10,1,1,None,2,0.3932677706552581,48.74141414960226
10,10,0.01,None,2,0.5614050860479701,153.3949714501699
10,10,0.05,None,2,0.5601826084222037,62.86855880419413
10,10,0.1,None,2,0.5473653522911177,76.71861227353413
10,10,0.5,None,2,0.422202510711964,35.29384128252665
10,10,1,None,2,0.35419839730651015,42.02316824595133
10,100,0.01,None,2,0.5654071326774365,148.34686557451883
10,100,0.05,None,2,0.5601009534233453,85.2649683157603
10,100,0.1,None,2,0.5455829192231085,65.71603600184123
10,100,0.5,None,2,0.39487010431420616,32.58104968070984
10,100,1,None,2,0.359025535812141,31.92450221379598
10,1000,0.01,None,2,0.5580937702310346,153.077019850413
10,1000,0.05,None,2,0.563916598117618,74.01370827356975
10,1000,0.1,None,2,0.5497679340668532,55.16037209828695
10,1000,0.5,None,2,0.41028377419987166,49.34251896540324
10,1000,1,None,2,0.40567762718581885,36.16979273160299
100,1,0.01,None,2,0.5574590355381711,150.1215122540792
100,1,0.05,None,2,0.5572863904814325,62.771366119384766
100,1,0.1,None,2,0.5458498107868329,53.31424331665039
100,1,0.5,None,2,0.4248406998436452,33.164626359939575
100,1,1,None,2,0.31393415362973,43.729686657587685
100,10,0.01,None,2,0.5638483387852294,150.98073800404867
100,10,0.05,None,2,0.5594680000097249,67.96307675043742
100,10,0.1,None,2,0.5463177446383648,49.0444807211558
100,10,0.5,None,2,0.44487768360506713,47.43052204449972
100,10,1,None,2,0.33094598200542014,37.49246899286906
100,100,0.01,None,2,0.5590746085881105,148.02213390668234
100,100,0.05,None,2,0.5601923526105635,69.35280640920003
100,100,0.1,None,2,0.5457604290546456,65.54652428627014
100,100,0.5,None,2,0.4275775602171648,57.07208466529846
