regularization,gamma,kernel,stopwords,n_grams,err,time
0.25,0.001,linear,None,1,0.612569903315014,2.3682068983713784
0.25,0.001,poly,None,1,0.20874754726341538,2.63703187306722
0.25,0.001,rbf,None,1,0.3066369779164661,3.567333777745565
0.25,0.001,sigmoid,None,1,0.5972224116644648,2.9420206546783447
0.25,0.01,linear,None,1,0.612569903315014,2.388918161392212
0.25,0.01,poly,None,1,0.301877934977622,2.6159724394480386
0.25,0.01,rbf,None,1,0.2610476444039879,3.8454166253407798
0.25,0.01,sigmoid,None,1,0.5779427005252774,2.3725273609161377
0.25,0.1,linear,None,1,0.612569903315014,2.3715054194132485
0.25,0.1,poly,None,1,0.301877934977622,2.632289409637451
0.25,0.1,rbf,None,1,0.25852518447335715,3.6499644120534263
0.25,0.1,sigmoid,None,1,0.4576231333505929,2.4543380737304688
0.5,1e-05,linear,None,1,0.6132869221580641,2.368143399556478
0.5,1e-05,poly,None,1,0.24836461358249817,3.549071947733561
0.5,1e-05,rbf,None,1,0.15885656599289627,3.6831385294596353
0.5,1e-05,sigmoid,None,1,0.2593487395041942,3.7146550019582114
0.5,0.0001,linear,None,1,0.6132869221580641,2.368792692820231
0.5,0.0001,poly,None,1,0.26718064042385065,3.276890675226847
0.5,0.0001,rbf,None,1,0.39487096491346513,3.3700406551361084
0.5,0.0001,sigmoid,None,1,0.5154088830758623,3.473263661066691
0.5,0.001,linear,None,1,0.6132869221580641,2.3714443842569985
0.5,0.001,poly,None,1,0.2131984082250922,2.643238067626953
0.5,0.001,rbf,None,1,0.32968548048000174,3.2959702809651694
0.5,0.001,sigmoid,None,1,0.5734262353290496,2.500936587651571
0.5,0.01,linear,None,1,0.6132869221580641,2.372821013132731
0.5,0.01,poly,None,1,0.301877934977622,2.619760354359945
0.5,0.01,rbf,None,1,0.2691226558069912,3.688119649887085
0.5,0.01,sigmoid,None,1,0.5579878729822542,2.1345767974853516
0.5,0.1,linear,None,1,0.6132869221580641,2.3709679444630942
0.5,0.1,poly,None,1,0.301877934977622,2.619335412979126
0.5,0.1,rbf,None,1,0.2596280598331056,3.337801376978556
0.5,0.1,sigmoid,None,1,0.44236715204222515,2.3070120811462402
0.75,1e-05,linear,None,1,0.6130137959135774,2.3739985624949136
0.75,1e-05,poly,None,1,0.24836461358249817,3.5521093209584556
0.75,1e-05,rbf,None,1,0.2182420750854804,3.671991984049479
0.75,1e-05,sigmoid,None,1,0.2593487395041942,3.705549716949463
0.75,0.0001,linear,None,1,0.6130137959135774,2.3749229113260903
0.75,0.0001,poly,None,1,0.2726101785822828,3.234652598698934
0.75,0.0001,rbf,None,1,0.46623950552902665,3.1257304350535073
0.75,0.0001,sigmoid,None,1,0.5778862060034339,3.2742807070414224
0.75,0.001,linear,None,1,0.6130137959135774,2.3742976983388266
0.75,0.001,poly,None,1,0.21955421792761762,2.6244242986043296
0.75,0.001,rbf,None,1,0.3423804350192374,2.923434019088745
0.75,0.001,sigmoid,None,1,0.5651412880994012,2.269920905431112
0.75,0.01,linear,None,1,0.6130137959135774,2.3739306926727295
0.75,0.01,poly,None,1,0.301877934977622,2.6144680182139077
0.75,0.01,rbf,None,1,0.27650826760385255,3.316982905069987
0.75,0.01,sigmoid,None,1,0.5593375618433242,2.010716279347738
0.75,0.1,linear,None,1,0.6130137959135774,2.3742990493774414
0.75,0.1,poly,None,1,0.301877934977622,2.617709477742513
0.75,0.1,rbf,None,1,0.2596280598331056,2.9545056025187173
0.75,0.1,sigmoid,None,1,0.43864985197977635,2.235124349594116
1,1e-05,linear,None,1,0.6130373274666643,2.378776947657267
1,1e-05,poly,None,1,0.24836461358249817,3.5516299406687417
1,1e-05,rbf,None,1,0.24982197264046235,3.628774642944336
1,1e-05,sigmoid,None,1,0.2593487395041942,3.702796697616577
1,0.0001,linear,None,1,0.6130373274666643,2.378404140472412
1,0.0001,poly,None,1,0.2830182323251129,3.202415148417155
1,0.0001,rbf,None,1,0.5126893118216946,2.9544533093770347
1,0.0001,sigmoid,None,1,0.5961271163294245,3.12410569190979
1,0.001,linear,None,1,0.6130373274666643,2.369269291559855
1,0.001,poly,None,1,0.22493377041900744,2.6244164307912192
1,0.001,rbf,None,1,0.34864722553843114,2.8768486181894937
1,0.001,sigmoid,None,1,0.5551528005816969,2.1684935887654624
1,0.01,linear,None,1,0.6130373274666643,2.3704867362976074
1,0.01,poly,None,1,0.301877934977622,2.6213341554005942
1,0.01,rbf,None,1,0.2795066668675127,3.375702460606893
1,0.01,sigmoid,None,1,0.5525593417969987,1.9732301235198975
1,0.1,linear,None,1,0.6130373274666643,2.3723875681559243
1,0.1,poly,None,1,0.301877934977622,2.623908042907715
1,0.1,rbf,None,1,0.2596280598331056,2.899141311645508
1,0.1,sigmoid,None,1,0.43779746100842787,2.1970580418904624
1.1,1e-05,linear,None,1,0.6130373274666643,2.371812661488851
1.1,1e-05,poly,None,1,0.24836461358249817,3.556177536646525
1.1,1e-05,rbf,None,1,0.2629168512465959,3.6121052900950112
1.1,1e-05,sigmoid,None,1,0.2593487395041942,3.711504062016805
1.1,0.0001,linear,None,1,0.6130373274666643,2.3758259614308677
1.1,0.0001,poly,None,1,0.2871553787260425,3.196354945500692
1.1,0.0001,rbf,None,1,0.5241827247701866,2.8945003350575766
1.1,0.0001,sigmoid,None,1,0.602725555287833,3.071840842564901
1.1,0.001,linear,None,1,0.6130373274666643,2.3791373570760093
1.1,0.001,poly,None,1,0.22580087453461498,2.6258910497029624
1.1,0.001,rbf,None,1,0.3489016775223339,2.741084098815918
1.1,0.001,sigmoid,None,1,0.5586289230637878,2.1604086558024087
1.1,0.01,linear,None,1,0.6130373274666643,2.4216297467549643
1.1,0.01,poly,None,1,0.301877934977622,2.625115474065145
1.1,0.01,rbf,None,1,0.2827327323227576,3.2099095980326333
1.1,0.01,sigmoid,None,1,0.5424617305382321,1.9348576068878174
1.1,0.1,linear,None,1,0.6130373274666643,2.3780606587727866
1.1,0.1,poly,None,1,0.301877934977622,2.6252006689707437
1.1,0.1,rbf,None,1,0.2596280598331056,2.797109683354696
1.1,0.1,sigmoid,None,1,0.438867192572118,2.174738883972168
1.5,1e-05,linear,None,1,0.613239732445895,2.3733611901601157
1.5,1e-05,poly,None,1,0.24836461358249817,3.5506858825683594
1.5,1e-05,rbf,None,1,0.3087830619372982,3.555555979410807
1.5,1e-05,sigmoid,None,1,0.26161958535798807,3.69181497891744
1.5,0.0001,linear,None,1,0.613239732445895,2.3725123405456543
1.5,0.0001,poly,None,1,0.301310965272376,3.1607269446055093
1.5,0.0001,rbf,None,1,0.5525712032337586,2.722290356953939
1.5,0.0001,sigmoid,None,1,0.6093987251210481,2.9194902578989663
1.5,0.001,linear,None,1,0.613239732445895,2.3813157876332602
1.5,0.001,poly,None,1,0.23018488734652512,2.612325747807821
1.5,0.001,rbf,None,1,0.3517420295449129,2.68727970123291
1.5,0.001,sigmoid,None,1,0.5528172337620336,1.9699867566426594
1.5,0.01,linear,None,1,0.613239732445895,2.370553970336914
1.5,0.01,poly,None,1,0.301877934977622,2.618184963862101
1.5,0.01,rbf,None,1,0.28382052700824373,2.9740169048309326
1.5,0.01,sigmoid,None,1,0.5478381063542651,1.8552003701527913
1.5,0.1,linear,None,1,0.613239732445895,2.3699539502461753
1.5,0.1,poly,None,1,0.301877934977622,2.6277337074279785
1.5,0.1,rbf,None,1,0.2596280598331056,2.5275030930836997
1.5,0.1,sigmoid,None,1,0.438611737651057,2.16439151763916
2,1e-05,linear,None,1,0.6129906165136855,2.376321713129679
2,1e-05,poly,None,1,0.24836461358249817,3.5507598718007407
2,1e-05,rbf,None,1,0.3643331402696188,3.46528959274292
2,1e-05,sigmoid,None,1,0.27667108987494915,3.6565550168355307
2,0.0001,linear,None,1,0.6129906165136855,2.372473875681559
2,0.0001,poly,None,1,0.27268580424523486,3.099160671234131
2,0.0001,rbf,None,1,0.5589275111762624,2.5695224603017173
2,0.0001,sigmoid,None,1,0.6132055154242136,2.7829310099283853
2,0.001,linear,None,1,0.6129906165136855,2.3741937478383384
2,0.001,poly,None,1,0.2446401675645857,2.62372088432312
2,0.001,rbf,None,1,0.35096048355714426,2.398459275563558
2,0.001,sigmoid,None,1,0.5493327969091779,1.9018734296162922
2,0.01,linear,None,1,0.6129906165136855,2.373414675394694
